,artist,album,track_name,track_id,release_date,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
30,Fall Out Boy,From Under The Cork Tree,"Dance, Dance",0a7BloCiNzLDD9qSQHh5m7,2005-05-03,0.622,0.961,11,-3.198,0,0.154,0.0,0.0854,0.449,114.452,180267,4
31,M.I.A.,Kala,Paper Planes,1kusepF3AacIEtUTYrw4GV,2007-01-01,0.447,0.848,2,-6.175,1,0.222,7.45e-05,0.722,0.485,172.247,203760,4
32,Britney Spears,Oops!... I Did It Again,Oops!...I Did It Again,6naxalmIoLFWR0siv8dnQQ,2000-05-16,0.751,0.834,1,-5.444,0,0.0437,1.77e-05,0.355,0.894,95.053,211160,4
33,TLC,Fanmail,No Scrubs,1KGi9sZVMeszgZOWivFpxs,1999-02-23,0.743,0.675,8,-4.267,0,0.0953,0.000717,0.0685,0.59,92.909,214400,4
34,Adele,21,Rolling in the Deep,1CkvWZme3pRgbzaxZnTl5X,2011-01-19,0.729,0.756,8,-5.119,1,0.0294,0.0,0.0527,0.522,104.945,228293,4
35,Lorde,Pure Heroine,Royals,2dLLR6qlu5UJ5gk0dKz0h3,2013-09-27,0.674,0.428,7,-9.504,1,0.122,0.0,0.132,0.337,84.878,190185,4
36,Fall Out Boy,Infinity On High,Thnks fr th Mmrs,3Zwu2K0Qa5sT6teCCHPShP,2007-01-01,0.459,0.891,10,-5.057,0,0.0623,0.0,0.106,0.588,154.837,203507,4
37,Harry Styles,Adore You,Adore You,1M4qEo4HE3PRaCOM7EXNJq,2019-12-06,0.676,0.771,8,-3.675,1,0.0483,7e-06,0.102,0.569,99.048,207133,4
38,The Weeknd,Beauty Behind The Madness,The Hills,7fBv7CLKzipRk6EC6TWHOB,2015-08-28,0.585,0.564,0,-7.063,0,0.0515,0.0,0.135,0.137,113.003,242253,4
39,5 Seconds of Summer,Teeth,Teeth,1JRK7srBWUtAW7dPabKBwJ,2019-08-21,0.755,0.448,3,-2.993,0,0.0405,3.87e-06,0.11,0.431,139.028,204887,4
